ID; NumComplains; hour_id; LCID; RACH_Setup_Completion_Success_Rate_AVG; Total_RRC_Connection_Setup_Success_Ratio_AVG; Total_RRC_Connection_Re_establishment_Success_Ratio_AVG; Radio_Bearer_Success_Ratio_AVG; ERAB_SetupSR_AVG; HO_Success_Ratio_intra_eNB_AVG; Average_CQI_AVG; Radio_Bearer_Drop_Ratio_AVG; Average_Physical_Resource_Block_Usage_UL_AVG; Average_Physical_Resource_Block_Usage_DL_AVG; Complete_RACH_Setup_Success_Rate_AVG; AGG1_blocked_distribution_rate_AVG; AGG2_blocked_distribution_rate_AVG; AGG4_blocked_distribution_rate_AVG; AGG8_blocked_distribution_rate_AVG; ECM_failure_ratio_due_to_Rejection_by_RRM_RAC_AVG; AGG_level_block_Rate_AVG; ERAB_Drop_Ratio_with_UE_Lost_cause_initiated_by_eNB_AVG
1;1;11/20/2015 0:03;33378111;0.992407;0.9987203;0.3314854;0.9991984;0.9996542;0.9921754;9.185048;0.001411213;2.02927;15.12467;0.832559922;0.19112935;0.213966246;0.257051625;0.316564246;0;0.000244056;0.000119266
2;1;11/20/2015 0:27;23596112;0.9992299;0.9935185;0.3581305;0.9984068;0.9980681;0.9801276;9.89885;0.002645488;2.941401;14.50509;0.809881134;0.202040476;0.190227339;0.202196653;0.325703641;0;0.000332241;0.000222451
3;1;11/20/2015 0:29;10611113;0.9845909;0.9987829;0.3104323;0.9993261;0.9992531;0.9936421;10.08829;0.001328219;1.737991;10.10685;0.826033582;0.246140704;0.235573382;0.274353487;0.212419737;0;0.000132038;0.000106901
4;1;11/20/2015 2:11;50982112;0.994961;0.998095;0.5910613;0.9992034;0.9996908;0.9881203;8.868629;0.001575582;1.960138;10.62714;0.884706926;0.1242382;0.169904846;0.169546015;0.436170945;0;7.50E-05;4.20E-05
5;1;11/20/2015 2:12;24738113;0.9854881;0.9986729;0.4508429;0.9989805;0.9996172;0.9894349;9.91658;0.003082545;4.088653;19.18508;0.838160769;0.221813765;0.191663109;0.188028975;0.299334437;0;0.000434538;0.000125092
6;1;11/20/2015 9:10;320H7113;0.9972882;0.9986706;0.2798673;0.9984085;0.9996997;0.9921414;8.973782;0.003127523;1.146417;10.44437;0.818975929;0.136609888;0.182277255;0.294700028;0.371473754;0;0.000161886;8.79E-05
7;1;11/20/2015 9:12;24843111;0.9474468;0.9977056;0.3490523;0.9990681;0.9994504;0.9837578;10.05729;0.00182361;2.361149;11.06125;0.777301781;0.204113556;0.182003648;0.186037976;0.288633869;0;0.000113718;0.000250626
8;1;11/20/2015 9:20;242T7113;0.9967768;0.9984813;0.3242209;0.9987703;0.9996163;0.9960822;9.376184;0.001946889;3.474425;24.84941;0.848042203;0.172926554;0.23216363;0.251039271;0.339265979;0;0.000633991;0.000116915
9;1;11/20/2015 9:24;40496111;0.9984772;0.9989609;0.4068822;0.9994569;0.9998206;0.9962061;8.767942;0.001092338;1.866387;20.68673;0.853698403;0.143923396;0.217765672;0.25750145;0.380109307;0;0.000371695;7.72E-05
10;1;11/20/2015 9:57;221D1111;0.9851862;0.9982709;0.243757;0.9992982;0.9993983;0.9919536;9.427592;0.001136314;2.32805;19.13305;0.798197603;0.207070708;0.225631296;0.245756688;0.31936256;0;0.000542614;7.75E-05
11;1;11/20/2015 10:02;242T7113;0.9968579;0.9984846;0.3248244;0.9987829;0.9996132;0.9960693;9.376882;0.001924636;3.476151;24.81696;0.848277498;0.173499325;0.232273415;0.250470414;0.339152256;0;0.000633676;0.00011287
12;1;11/20/2015 10:06;24244233;0.9951568;0.9984471;0.3727647;0.9991758;0.9996364;0.9932197;9.193114;0.001343447;4.060975;25.6989;0.841502395;0.201460301;0.21093437;0.216930798;0.337761373;0;0.000639209;7.15E-05
13;1;11/20/2015 10:10;41223233;0.9533334;0.9958159;0.4255668;0.9989718;0.9998177;0.9974747;9.199441;0.002270598;1.7651;11.22921;0.908961513;0.125950598;0.183984071;0.239465808;0.296537862;0;0.000428095;4.68E-05
14;1;11/20/2015 10:16;41321112;0.9897925;0.9972147;0.4311936;0.9989862;0.999706;0.9938255;8.505722;0.001453474;4.207498;28.04827;0.901182988;0.178388469;0.241109146;0.233383002;0.343384402;0;0.000666368;6.06E-05
15;1;11/20/2015 10:19;20309113;0.9944458;0.9991137;0.4886974;0.9992497;0.9973449;0.995231;9.559364;0.001715973;1.130538;11.10893;0.851958256;0.138084195;0.169951921;0.18533203;0.435022822;0;0.000191407;9.35E-05
16;1;11/20/2015 10:20;105W6111;0.9965078;0.9963295;0.3616486;0.9986777;0.9990966;0.9912517;9.479402;0.001949581;3.869599;21.20675;0.829266995;0.142068367;0.216627679;0.233361187;0.348068703;0;0.000558514;0.000105714
17;1;11/20/2015 10:22;221L0111;0.9718413;0.9979632;0.271665;0.9991741;0.9991684;0.9810853;9.632432;0.00137128;1.308344;12.25688;0.751895507;0.193710287;0.188622263;0.207372562;0.402009395;0;0.000148891;8.02E-05
18;1;11/20/2015 10:27;55705211;0.9879813;0.9983505;0.7239424;0.9986579;0.9996061;0.9979956;10.26633;0.01138082;0.2095013;1.722609;0.914829339;0.055787035;0.054604898;0.03987054;0.104239256;0;9.48E-07;0.000118583
19;1;11/20/2015 10:41;33429131;0.9923391;0.9978507;0.4189953;0.9987059;0.9995478;0.992084;9.05627;0.002748641;1.717722;12.78494;0.822691821;0.196360275;0.181857026;0.186019491;0.302243291;0;8.01E-05;0.000102684
20;1;11/20/2015 11:02;114L7231;0.9750733;0.9959615;0.4228345;0.9991189;0.9993682;0.9943808;10.27519;0.003692085;2.066947;5.607985;0.847396674;0.122355961;0.095288819;0.090776335;0.171060547;0;0.000153492;6.79E-05
